suite,query,plan,status,n,mean_s,median_s,stdev_s,min_s,p05_s,p95_s,max_s,cv_pct,original_n,original_mean_s,original_median_s,speedup_mean,speedup_median,improvement_mean_pct,improvement_median_pct,faster_by_mean,faster_by_median
job,15d,rewrite1,measured,10,2.807800000,2.808000000,0.101590463,2.667000000,2.678700000,2.947950000,2.970000000,3.618151693,10,5.559900000,5.635000000,1.980162405,2.006766382,49.499091710,50.168589175,true,true
job,15d,rewrite2,measured,10,4.391300000,4.378500000,0.294844234,3.963000000,4.026450000,4.783200000,4.911000000,6.714281280,10,5.559900000,5.635000000,1.266117095,1.286970424,21.018363640,22.298136646,true,true
job,15d,rewrite3,measured,10,2.785500000,2.844500000,0.139971624,2.471000000,2.534900000,2.901250000,2.908000000,5.025008943,10,5.559900000,5.635000000,1.996015078,1.981015996,49.900178061,49.520851819,true,true
job,15d,rewrite4,measured,10,7.999300000,8.085000000,0.465292035,7.124000000,7.287350000,8.525200000,8.662000000,5.816659394,10,5.559900000,5.635000000,0.695048317,0.696969697,-43.874889836,-43.478260870,false,false
job,15d,rewrite5,measured,10,5.116700000,5.118000000,0.335237909,4.661000000,4.662350000,5.585900000,5.603000000,6.551838272,10,5.559900000,5.635000000,1.086618328,1.101016022,7.971366391,9.174800355,true,true
job,15d,rewrite6,measured,10,2.710100000,2.708500000,0.059127828,2.607000000,2.629050000,2.788300000,2.800000000,2.181758150,10,5.559900000,5.635000000,2.051547913,2.080487355,51.256317560,51.934338953,true,true
job,15d,rewrite7,measured,10,2.231700000,2.224500000,0.076401062,2.083000000,2.114950000,2.315800000,2.323000000,3.423446774,10,5.559900000,5.635000000,2.491329480,2.533153518,59.860788863,60.523513753,true,true
job,15d,rewrite8,measured,10,3.787600000,3.627500000,0.362615867,3.439000000,3.496600000,4.419350000,4.634000000,9.573763506,10,5.559900000,5.635000000,1.467921639,1.553411440,31.876472598,35.625554570,true,true
job,17a,rewrite1,measured,10,6.524200000,6.569000000,0.182317671,6.223000000,6.231550000,6.701800000,6.718000000,2.794483178,10,7.181200000,7.368000000,1.100702002,1.121631907,9.148888765,10.844191097,true,true
job,17a,rewrite2,measured,10,3.791300000,3.894000000,0.378358457,3.263000000,3.267500000,4.215150000,4.284000000,9.979649654,10,7.181200000,7.368000000,1.894126025,1.892141757,47.205202473,47.149837134,true,true
job,17a,rewrite3,measured,10,3.876800000,3.928500000,0.170531066,3.428000000,3.603500000,4.003350000,4.020000000,4.398758407,10,7.181200000,7.368000000,1.852352456,1.875525010,46.014593661,46.681596091,true,true
job,17a,rewrite4,measured,10,6.518100000,6.547500000,0.244092173,5.996000000,6.156650000,6.831550000,6.931000000,3.744836270,10,7.181200000,7.368000000,1.101732100,1.125315006,9.233832786,11.135993485,true,true
job,17a,rewrite5,measured,10,4.030900000,4.134500000,0.308074107,3.478000000,3.551800000,4.310400000,4.323000000,7.642811959,10,7.181200000,7.368000000,1.781537622,1.782077639,43.868712750,43.885722041,true,true
job,17a,rewrite6,measured,10,5.474300000,5.509000000,0.392228122,4.812000000,4.891650000,5.912050000,5.944000000,7.164900031,10,7.181200000,7.368000000,1.311802422,1.337447813,23.769007965,25.230727470,true,true
job,17a,rewrite7,measured,10,4.543900000,4.530000000,0.200686848,4.266000000,4.277250000,4.784650000,4.786000000,4.416621149,10,7.181200000,7.368000000,1.580404498,1.626490066,36.725059879,38.517915309,true,true
job,17a,rewrite8,measured,10,4.175300000,4.222000000,0.217354319,3.843000000,3.883050000,4.431800000,4.493000000,5.205717410,10,7.181200000,7.368000000,1.719924317,1.745144481,41.857906757,42.698154180,true,true
job,22d,rewrite1,measured,10,4.226800000,4.293500000,0.234885693,3.913000000,3.915700000,4.526900000,4.661000000,5.557057188,10,9.494600000,9.565500000,2.246285606,2.227902644,55.482063489,55.114735246,true,true
job,22d,rewrite2,measured,10,4.068200000,4.125000000,0.312000641,3.476000000,3.625400000,4.468850000,4.490000000,7.669255224,10,9.494600000,9.565500000,2.333857726,2.318909091,57.152486677,56.876274110,true,true
job,22d,rewrite3,measured,10,5.101900000,5.143000000,0.170035585,4.782000000,4.847700000,5.292950000,5.297000000,3.332789441,10,9.494600000,9.565500000,1.860992963,1.859906669,46.265245508,46.233861272,true,true
job,22d,rewrite4,measured,10,4.782300000,4.713000000,0.328666346,4.185000000,4.344750000,5.232950000,5.282000000,6.872558089,10,9.494600000,9.565500000,1.985362692,2.029598982,49.631369410,50.729183001,true,true
job,22d,rewrite5,measured,10,7.517700000,7.558500000,0.334454797,6.879000000,7.059450000,7.943150000,8.021000000,4.448897892,10,9.494600000,9.565500000,1.262966067,1.265528875,20.821308955,20.981652815,true,true
job,22d,rewrite6,measured,10,7.586000000,7.583000000,0.333662837,6.954000000,7.136250000,8.034200000,8.135000000,4.398402810,10,9.494600000,9.565500000,1.251595044,1.261440063,20.101952689,20.725524019,true,true
job,22d,rewrite7,measured,10,14.961600000,14.993000000,0.527811877,13.996000000,14.203900000,15.610500000,15.678000000,3.527776957,10,9.494600000,9.565500000,0.634597904,0.637997732,-57.580098161,-56.740369035,false,false
job,22d,rewrite8,measured,10,10.021900000,10.213500000,0.794459768,8.113000000,8.778550000,10.797450000,10.878000000,7.927237026,10,9.494600000,9.565500000,0.947385226,0.936554560,-5.553683146,-6.774345303,false,false
job,2d,rewrite1,measured,10,2.489900000,2.485500000,0.058975419,2.404000000,2.414350000,2.583700000,2.599000000,2.368585831,10,1.275700000,1.302500000,0.512349894,0.524039429,-95.179117347,-90.825335893,false,false
job,2d,rewrite2,measured,10,1.744400000,1.749500000,0.059513210,1.669000000,1.669900000,1.832650000,1.834000000,3.411672236,10,1.275700000,1.302500000,0.731311626,0.744498428,-36.740612997,-34.318618042,false,false
job,2d,rewrite3,measured,10,1.267000000,1.275000000,0.125257956,1.030000000,1.063300000,1.415850000,1.455000000,9.886184377,10,1.275700000,1.302500000,1.006866614,1.021568627,0.681978522,2.111324376,true,true
job,2d,rewrite4,measured,10,7.255700000,7.034000000,0.546866031,6.543000000,6.650550000,8.126100000,8.235000000,7.537054050,10,1.275700000,1.302500000,0.175820389,0.185172022,-468.762248177,-440.038387716,false,false
job,2d,rewrite5,measured,10,7.382500000,7.079000000,0.963936057,6.554000000,6.554900000,8.903500000,9.484000000,13.057041072,10,1.275700000,1.302500000,0.172800542,0.183994915,-478.701889159,-443.493282150,false,false
job,2d,rewrite6,measured,10,1.158200000,1.177500000,0.046998345,1.060000000,1.082050000,1.201950000,1.206000000,4.057878184,10,1.275700000,1.302500000,1.101450527,1.106157113,9.210629458,9.596928983,true,true
lsqb,q1,rewrite1,incomplete,0,,,,,,,,,10,4.939500000,4.792000000,,,,,false,false
lsqb,q1,rewrite2,measured,10,1.606200000,1.619500000,0.092396248,1.366000000,1.470400000,1.693100000,1.730000000,5.752474668,10,4.939500000,4.792000000,3.075270826,2.958937944,67.482538718,66.204090150,true,true
lsqb,q1,rewrite3,measured,10,1.041000000,1.065500000,0.091754503,0.806000000,0.897800000,1.116650000,1.118000000,8.814073331,10,4.939500000,4.792000000,4.744956772,4.497419052,78.924992408,77.765025042,true,true
lsqb,q1,rewrite4,measured,10,1.576600000,1.587500000,0.050660526,1.481000000,1.494950000,1.637000000,1.664000000,3.213277048,10,4.939500000,4.792000000,3.133007738,3.018582677,68.081789655,66.871869783,true,true
lsqb,q1,rewrite5,measured,10,1.478200000,1.541500000,0.147149055,1.270000000,1.278100000,1.624400000,1.628000000,9.954610688,10,4.939500000,4.792000000,3.341564064,3.108660396,70.073894119,67.831803005,true,true
lsqb,q1,rewrite6,measured,10,1.086400000,1.075000000,0.060308835,1.004000000,1.014800000,1.173250000,1.180000000,5.551255045,10,4.939500000,4.792000000,4.546667894,4.457674419,78.005871040,77.566777963,true,true
