suite,query,plan,plan_kind,source_file,repetition,execution_order,seconds,status,error
lsqb,q1,rewrite8,rewrite,lsqb-q1/rewrite8.sql,1,1,0.802000000,ok,
job,15d,rewrite7,rewrite,job-15d/rewrite7.sql,1,2,2.323000000,ok,
job,17a,rewrite5,rewrite,job-17a/rewrite5.sql,1,3,3.478000000,ok,
job,17a,rewrite3,rewrite,job-17a/rewrite3.sql,1,4,3.428000000,ok,
job,17a,query,original,job-17a/query.sql,1,5,7.828000000,ok,
job,17a,rewrite2,rewrite,job-17a/rewrite2.sql,1,6,4.026000000,ok,
job,17a,rewrite8,rewrite,job-17a/rewrite8.sql,1,7,4.312000000,ok,
job,15d,rewrite8,rewrite,job-15d/rewrite8.sql,1,8,3.707000000,ok,
job,22d,rewrite1,rewrite,job-22d/rewrite1.sql,1,9,4.271000000,ok,
lsqb,q1,rewrite3,rewrite,lsqb-q1/rewrite3.sql,1,10,1.060000000,ok,
job,2d,rewrite5,rewrite,job-2d/rewrite5.sql,1,11,8.116000000,ok,
job,22d,rewrite5,rewrite,job-22d/rewrite5.sql,1,12,7.323000000,ok,
lsqb,q1,rewrite6,rewrite,lsqb-q1/rewrite6.sql,1,13,1.180000000,ok,
job,17a,rewrite6,rewrite,job-17a/rewrite6.sql,1,14,5.765000000,ok,
job,22d,rewrite7,rewrite,job-22d/rewrite7.sql,1,15,14.786000000,ok,
job,17a,rewrite1,rewrite,job-17a/rewrite1.sql,1,16,6.718000000,ok,
job,22d,rewrite6,rewrite,job-22d/rewrite6.sql,1,17,6.954000000,ok,
lsqb,q1,rewrite4,rewrite,lsqb-q1/rewrite4.sql,1,18,1.584000000,ok,
job,2d,rewrite2,rewrite,job-2d/rewrite2.sql,1,19,1.744000000,ok,
job,17a,rewrite7,rewrite,job-17a/rewrite7.sql,1,20,4.774000000,ok,
job,15d,rewrite3,rewrite,job-15d/rewrite3.sql,1,21,2.812000000,ok,
lsqb,q1,rewrite2,rewrite,lsqb-q1/rewrite2.sql,1,22,1.628000000,ok,
job,17a,rewrite4,rewrite,job-17a/rewrite4.sql,1,23,5.996000000,ok,
job,2d,rewrite4,rewrite,job-2d/rewrite4.sql,1,24,6.543000000,ok,
job,2d,rewrite3,rewrite,job-2d/rewrite3.sql,1,25,1.281000000,ok,
job,22d,rewrite2,rewrite,job-22d/rewrite2.sql,1,26,4.074000000,ok,
job,15d,rewrite4,rewrite,job-15d/rewrite4.sql,1,27,7.124000000,ok,
job,22d,rewrite8,rewrite,job-22d/rewrite8.sql,1,28,10.699000000,ok,
job,15d,rewrite5,rewrite,job-15d/rewrite5.sql,1,29,5.378000000,ok,
job,15d,rewrite1,rewrite,job-15d/rewrite1.sql,1,30,2.845000000,ok,
job,15d,query,original,job-15d/query.sql,1,31,5.891000000,ok,
lsqb,q1,rewrite5,rewrite,lsqb-q1/rewrite5.sql,1,32,1.533000000,ok,
job,2d,rewrite6,rewrite,job-2d/rewrite6.sql,1,33,1.193000000,ok,
job,15d,rewrite6,rewrite,job-15d/rewrite6.sql,1,34,2.607000000,ok,
job,15d,rewrite2,rewrite,job-15d/rewrite2.sql,1,35,4.475000000,ok,
lsqb,q1,query,original,lsqb-q1/query.sql,1,36,4.829000000,ok,
job,22d,rewrite4,rewrite,job-22d/rewrite4.sql,1,37,4.611000000,ok,
job,2d,rewrite1,rewrite,job-2d/rewrite1.sql,1,38,2.503000000,ok,
job,22d,rewrite3,rewrite,job-22d/rewrite3.sql,1,39,5.297000000,ok,
job,2d,query,original,job-2d/query.sql,1,40,1.318000000,ok,
lsqb,q1,rewrite7,rewrite,lsqb-q1/rewrite7.sql,1,41,1.173000000,ok,
job,22d,query,original,job-22d/query.sql,1,42,9.752000000,ok,
job,15d,query,original,job-15d/query.sql,2,43,5.924000000,ok,
