query_name,original_average_time_s,original_median_time_s,original_std_time_s,rewrite_plan_number,rewrite_average_time_s,rewrite_median_time_s,rewrite_std_time_s,original_min_time_s,rewrite_max_time_s,worst_case_speedup_x,median_speedup_x,measured_repetitions,steady_beats_original
job-15d,5.559900,5.635000,0.325242,1,2.807800,2.808000,0.101590,5.063000,2.970000,1.704714,2.006766,10,true
job-15d,5.559900,5.635000,0.325242,2,4.391300,4.378500,0.294844,5.063000,4.911000,1.030951,1.286970,10,true
job-15d,5.559900,5.635000,0.325242,3,2.785500,2.844500,0.139972,5.063000,2.908000,1.741059,1.981016,10,true
job-15d,5.559900,5.635000,0.325242,6,2.710100,2.708500,0.059128,5.063000,2.800000,1.808214,2.080487,10,true
job-15d,5.559900,5.635000,0.325242,7,2.231700,2.224500,0.076401,5.063000,2.323000,2.179509,2.533154,10,true
job-15d,5.559900,5.635000,0.325242,8,3.787600,3.627500,0.362616,5.063000,4.634000,1.092577,1.553411,10,true
job-17a,7.181200,7.368000,0.646362,2,3.791300,3.894000,0.378358,5.647000,4.284000,1.318161,1.892142,10,true
job-17a,7.181200,7.368000,0.646362,3,3.876800,3.928500,0.170531,5.647000,4.020000,1.404726,1.875525,10,true
job-17a,7.181200,7.368000,0.646362,5,4.030900,4.134500,0.308074,5.647000,4.323000,1.306269,1.782078,10,true
job-17a,7.181200,7.368000,0.646362,7,4.543900,4.530000,0.200687,5.647000,4.786000,1.179900,1.626490,10,true
job-17a,7.181200,7.368000,0.646362,8,4.175300,4.222000,0.217354,5.647000,4.493000,1.256844,1.745144,10,true
job-22d,9.494600,9.565500,0.396739,1,4.226800,4.293500,0.234886,8.847000,4.661000,1.898091,2.227903,10,true
job-22d,9.494600,9.565500,0.396739,2,4.068200,4.125000,0.312001,8.847000,4.490000,1.970379,2.318909,10,true
job-22d,9.494600,9.565500,0.396739,3,5.101900,5.143000,0.170036,8.847000,5.297000,1.670191,1.859907,10,true
job-22d,9.494600,9.565500,0.396739,4,4.782300,4.713000,0.328666,8.847000,5.282000,1.674934,2.029599,10,true
job-22d,9.494600,9.565500,0.396739,5,7.517700,7.558500,0.334455,8.847000,8.021000,1.102980,1.265529,10,true
job-22d,9.494600,9.565500,0.396739,6,7.586000,7.583000,0.333663,8.847000,8.135000,1.087523,1.261440,10,true
lsqb-q1,4.939500,4.792000,0.449578,2,1.606200,1.619500,0.092396,4.644000,1.730000,2.684393,2.958938,10,true
lsqb-q1,4.939500,4.792000,0.449578,3,1.041000,1.065500,0.091755,4.644000,1.118000,4.153846,4.497419,10,true
lsqb-q1,4.939500,4.792000,0.449578,4,1.576600,1.587500,0.050661,4.644000,1.664000,2.790865,3.018583,10,true
lsqb-q1,4.939500,4.792000,0.449578,5,1.478200,1.541500,0.147149,4.644000,1.628000,2.852580,3.108660,10,true
lsqb-q1,4.939500,4.792000,0.449578,6,1.086400,1.075000,0.060309,4.644000,1.180000,3.935593,4.457674,10,true
lsqb-q1,4.939500,4.792000,0.449578,7,1.129900,1.124000,0.041736,4.644000,1.196000,3.882943,4.263345,10,true
lsqb-q1,4.939500,4.792000,0.449578,8,1.040200,1.051500,0.095709,4.644000,1.161000,4.000000,4.557299,10,true
