Query,Average_Time
10a0_6,6.6694
10b0_6,5.1986
10c0_6,11.8922
11a0_6,2.5456
11b0_6,0
11c13_6,1.1126
11d4_6,0
12a0_6,27.7272
12b0_6,36.3066
12c0_6,43.0322
13a0_6,215.779
13b0_6,2.1628
13c0_6,2.1022
13d0_6,69.7514
14a0_6,19.9794
14c0_6,28.5364
15a0_6,0
15b0_6,28.5732
15c0_6,0
15d36_6,10.495
16a0_6,36.687
16b0_6,39.4624
16c0_6,25.1246
16d0_6,31.1576
17a0_6,0
17b0_6,7.6344
17c0_6,12.0032
17d0_6,0
17e0_6,16.6806
17f0_6,7.7904
18a0_6,181.903
18b0_6,78.5768
18c0_6,0
19a0_6,199.911
19b0_6,0
19c0_6,0
19d0_6,56.3892
1a0_6,1.345
1b0_6,1.799
1c0_6,0.3646
1d0_6,4.6266
20a0_6,7.5998
20b0_6,5.4036
20c0_6,8.18
21a0_6,62.0864
21b0_6,69.358
21c0_6,90.2054
22a0_6,101.554
22b0_6,86.6662
22c0_6,142.407
22d0_6,94.372
23a0_6,58.4
23b0_6,53.334
23c0_6,50.5614
24a0_6,0
24b0_6,0
25a0_6,0
25b0_6,0
25c0_6,0
26a0_6,26.9532
26b0_6,32.4816
26c0_6,163.077
27a0_6,72.4308
27b0_6,45.9302
27c0_6,61.335
28a0_6,105.122
28b0_6,19.368
28c0_6,84.2588
29a0_6,0
29b0_6,0
29c0_6,201.357
2a0_6,1.1912
2b0_6,1.0496
2c0_6,0.9554
2d0_6,2.144
30a0_6,0
30b0_6,0
30c0_6,0
31a0_6,0
31b0_6,0
31c0_6,132.777
32a0_6,1.4562
32b0_6,2.0778
33a0_6,18.8334
33b0_6,18.3128
33c0_6,0
3a0_6,14.8002
3b0_6,7.3038
3c0_6,19.929
4a0_6,1.4944
4b0_6,1.0358
4c0_6,1.8686
5a0_6,30.443
5b0_6,17.934
5c0_6,14.938
6a4_6,0
6b0_6,0
6c0_6,0
6d0_6,0
6e0_6,0
6f0_6,200.774
7a0_6,8.3072
7b0_6,7.5404
7c0_6,155.714
8c0_6,60.9692
8d0_6,32.2096
9a0_6,12.6986
9b0_6,0
9c0_6,0
9d0_6,640.461
